sample_id,phenotype,age,gene_001,gene_002,gene_003,gene_004,gene_005,gene_006,gene_007,gene_008,gene_009,gene_010,gene_011,gene_012,gene_013,gene_014,gene_015,gene_016,gene_017,gene_018,gene_019,gene_020,gene_021,gene_022,gene_023,gene_024
sample_016,-0.0870063390,47.7983292770,-1.2849266668,-1.3768798171,-0.5645069183,1.0117408561,2.3921148616,0.6271296732,-0.4887285004,0.5259694074,0.8741870161,0.6643855933,-0.4114504413,1.0169750382,-1.1359627216,-0.3980822792,-0.6632085995,-1.6891959650,-0.7955925801,1.2411333996,-0.7058893700,-1.1157447831,-0.4663099660,-1.6240799234,-1.6853941318,-1.4352815950
sample_017,-0.2415121630,52.4043829477,0.3027406932,0.7961975791,-0.5864885891,-1.1271690219,0.1728587598,0.8573244871,0.3601127132,-1.7515895320,-0.7318331108,0.3831828373,-0.2120455144,0.7940219380,0.5607853715,-0.5039077638,-0.7731227589,-0.4005536543,-0.1249609094,-1.7958431157,-0.2642497284,-1.6254175998,-1.2053742939,-1.1277635463,-0.1527645685,-0.5655963756
sample_018,0.1712786455,62.7392491647,-1.0626700574,-1.3075063271,-1.2403771557,-0.8820813780,0.6612994859,-1.7351625187,-3.3972271915,-0.9455558123,-0.7746927313,0.8233473415,1.3019764819,0.0558301076,-0.4900733944,0.7784807215,1.4386384595,0.8788452594,-1.0334239465,-0.6405491986,0.0878904418,-0.0036152563,0.4711921945,1.0946214744,0.8263583027,-0.0783287918
sample_019,2.0134645663,63.8501185010,0.8664615094,1.0200348994,0.3500239978,0.4172786434,1.4165890311,0.5612590685,0.5288921212,-0.9261013148,-1.6246243809,-0.0085786961,0.6263129075,0.3400345549,-0.3690327632,0.7507394704,0.1256898419,-0.2542767396,0.4669311614,1.0714439008,1.9099044916,0.5309436202,0.2937769637,0.1994248078,-0.3346697175,-1.2601712881
sample_020,5.7421099966,44.4494477151,0.2748003292,-1.6558204319,1.0446405779,-0.2862205741,1.4074677324,-0.1875939673,-1.0750964375,-2.2054108931,-1.7557681300,-1.4318494155,-1.6016052561,0.6357387084,0.6818975543,0.3163312650,-0.2603480934,1.2607559266,0.2809191186,-0.5451194588,-1.1993181119,0.2914315934,0.6526308047,0.5036320332,-0.6032852912,-1.5390800793
sample_021,9.4572691748,64.6142110662,1.7206668608,-2.3003896814,0.0224182297,1.1601071873,0.7152265643,-0.0230312310,-0.4577140338,-1.2780417557,-1.3315673553,-0.3110636518,0.2392602820,0.5779434472,2.0031808688,0.9567002180,-0.9048566098,-1.3273469729,-0.0695690632,-1.2989450985,0.3957244416,-0.3978887626,-0.0263930494,-0.6843555738,1.7179210666,1.0585238911
sample_022,0.8026772890,54.2305753463,-0.1183059614,0.9147516077,1.4305488163,-0.2249251616,-0.4982605755,0.6731631373,0.2242495648,-0.8926236243,-1.8621157399,-1.7470788847,-0.4755791753,-0.7157791486,-0.8518385575,-0.1424225138,0.1938379285,0.4704353155,0.0370924262,1.0253648547,0.5978308536,-0.0201588436,-0.9877752083,-0.9348235417,0.5174786896,-0.7218225357
sample_023,3.9608902865,50.0365923533,0.9385231200,-0.3499372839,-0.2487279533,-0.4977687716,0.8717832844,0.5831972063,-0.1361277290,-0.9635664217,-0.6206839455,-0.4853816472,-0.3779564373,0.8715897432,1.2375667476,1.0961715554,-0.4730827502,-0.4302997473,0.9433353142,1.4143047246,0.6975848507,0.3157125883,0.6217611626,0.2880125368,0.7974126837,-1.0745416469
sample_024,3.1653853262,54.8630881249,1.1365878484,0.8625259452,0.0378599755,-0.2144569704,0.2963762186,-1.2450959594,0.1838208320,-0.5723350463,-1.2541394149,-0.0345088085,-0.9304897421,1.8400368242,-0.8716643240,0.9547584300,1.3961933387,0.8358025801,-0.4319413150,0.8885099870,0.3949923622,-0.8143524762,-0.1883374245,-0.8552671745,-0.4895852969,-0.0740604520
sample_025,1.2398922403,34.3181071881,1.0591301455,1.0352023189,-0.0039122609,-0.4271087040,-1.6595681292,-1.3448587190,0.2690051807,0.1895689133,0.1658423585,1.4571849363,1.6691393991,1.1353987120,-0.0737168132,0.8118067965,-0.1426590502,1.6442925131,1.6159347219,0.7065077589,0.0828944780,-0.2968551288,-0.1418956668,0.3467537577,-0.7568006645,-0.2140760655
sample_026,1.8923601771,41.3528872977,0.5424461683,-0.7002424531,-1.5241152933,0.8460268216,0.6556290985,1.4117600935,2.9959373478,0.2686670677,0.3063391599,0.3145441293,1.1717106769,0.2234019983,0.7266654600,0.3408240760,-1.1154846129,0.6407288587,1.5469543679,0.2937819903,1.6527305329,0.5183013648,-1.2739652353,-0.7176593035,0.0430922466,0.7714720575
sample_027,0.3352285217,48.8104330973,-0.7011787252,-0.8237420580,-0.7523983639,-0.4445241665,-1.3315042799,-0.9432034499,0.8708057292,1.9213250213,1.0567238867,0.8997503750,0.4307015574,-0.6669959183,1.5229952828,1.1404943276,-1.0418513429,-0.3958159240,-0.7599517633,0.1027428445,-0.6814058407,0.9048588256,0.6656826102,-0.2354060280,0.8725609967,-0.1002618054
sample_028,-0.9626358070,56.7067839439,-0.4494005599,0.1611535534,-1.2828575770,-0.4500468019,-0.7098632527,0.0255201345,-0.2010995579,-0.9354295353,-0.6783703863,-0.4812540256,-0.4419444717,-0.1485881995,-0.0013047389,-0.3791641919,0.5475139762,0.7406861986,-1.1245256771,0.2506246391,0.8150014180,-2.0273246748,0.4511314485,-0.5005949705,-2.1437225339,-1.3311214753
sample_029,4.9936177453,45.9076584536,1.3530492394,0.0477347770,0.5816157939,0.6522284184,1.8149844796,-0.8752960390,-0.3750106923,-1.0758487493,-1.2909117004,-1.4737010149,-0.9420444145,-1.1524831630,-0.5543485019,0.0715762609,1.4721690738,-0.7786116412,1.2663885269,-0.5736240961,0.4868335260,0.1762243147,0.8290117343,0.7719532641,0.5312138402,-0.0470775525
sample_030,-0.5055256295,48.5994936614,-1.0334005412,-0.3165659908,-0.6305861944,-2.7184450846,-1.2102362627,0.6834078886,-0.5799293061,0.5437100058,0.3528925143,1.3539880361,0.1955579059,-0.6270735244,-1.1836984339,-1.2280515431,0.6825960834,0.1270921530,-1.2675159126,-2.0844257138,-0.0880534521,0.4599346097,-0.4401434008,0.3861423358,0.2911430582,1.0964866827
sample_031,2.5073868217,60.6637805337,2.5113954703,0.9354224309,0.2058668664,0.4551041161,-0.8429708738,-0.3440051564,1.0338664180,1.7392236531,-0.2040617760,0.3813703051,-0.2672373523,0.1432271074,-0.8453216408,-1.8765843924,-1.0879665230,-0.4190932304,1.1559813792,0.8131969827,1.4268766138,-0.0851593538,0.7627885609,1.9226445598,2.4625472928,0.2930060930
sample_032,4.4620685921,65.5287178594,0.7128907336,-0.8956501054,-0.6313247955,0.0425890399,-0.4823755543,-0.9665886776,-0.2150997077,1.3888282284,0.1899854589,0.1539382828,1.2229958211,-0.6509369547,-0.3294615346,-1.2541423546,-1.9663248469,-1.6523164577,-1.0178158163,-0.5908316439,-1.6070402978,-1.0753464710,-1.0614353539,-1.7487253841,-2.0973434670,-0.4436602201
sample_033,3.1140035975,58.4384635210,-0.2465710718,-1.1659257147,0.0501503907,-0.4906518952,0.9989487912,0.2162220319,-2.0912691474,-2.1572309514,-0.7720548688,-1.4011935657,-0.5841065362,-1.1592204179,0.3095814029,0.6743648526,1.5039855958,-1.4372799165,-0.9735335300,-0.5957919371,-1.1894058474,-0.3514044686,-0.5466525260,0.2044188755,1.9226047392,-0.0963261892
sample_034,0.2200919436,63.9526427750,-1.0708866560,-0.5583467138,-0.3099370445,0.9493315715,0.6716736885,-0.3920334651,-0.4440212283,-1.2316242725,-1.2725829133,0.2167651009,0.3250823286,-0.9308475437,-0.5699176844,-1.1871408013,1.2047812080,0.0651132218,1.8951523654,1.8982629024,1.3656705648,0.1307744636,0.9280609468,-0.5630178044,-0.1188856539,0.0389423550
sample_035,3.0293335967,45.5520417705,-0.4159267841,-0.4883159424,1.1235416476,0.5155534973,-0.5923228733,0.7600524716,0.3493118319,-0.7480862060,-2.1060958381,0.2714140538,-1.0666749148,-0.0041969096,-2.1221644915,-0.2954248084,0.8354886383,0.7034080276,0.0086351017,0.8641635953,0.7831349735,0.5600243955,0.2701886776,1.6688410289,1.6025236939,-0.3909015257
sample_036,3.4692053839,46.6292141256,1.4162500832,-1.0945304156,-1.4192125614,0.2995257645,-0.1842916870,1.1559192728,0.6067702474,1.3235911604,1.0023686717,-0.2417390780,0.4720481033,-0.6364616848,0.0795293900,0.1024288776,1.3554070524,1.5757316385,0.9353772711,1.6209846462,-0.2798244348,0.7393567559,-0.0038302847,0.4431340652,-1.1923220248,0.3845022110
sample_037,-12.9210791155,53.5018900474,-1.5107566696,-0.0521700750,-1.1303881047,-0.2579731587,0.2921004998,0.3770621788,0.2740565890,-0.1367908134,0.4329131803,1.6118336130,-0.1436268699,-2.0166302455,0.4436119831,0.7973155451,0.7270155414,0.3479554175,0.4136220348,0.5581165849,-0.4992274310,-0.8603521725,0.0184072326,-1.1806413865,-1.8344190618,-0.6031157020
sample_038,1.7002703094,46.6882050445,0.3479649955,0.4269003570,0.5547603390,0.6966548420,0.3125624078,0.4533862924,0.3960226189,-1.9028474993,-0.6521196698,0.9938680273,0.6365223666,-0.8392422918,0.4356025978,0.3761231883,0.3585026958,-1.2328255490,1.6832155328,0.4846514195,-0.3857198405,0.1030017421,0.5947123873,0.3596738418,-2.3290413514,-0.4349864673
sample_039,2.7402465879,44.4215741503,-1.1181099675,-1.9181718324,0.5528534379,0.5995989647,-0.9104940792,0.4574078795,-1.7777949647,-0.7735150941,0.0673789089,1.0012986678,0.6870062389,0.4503492527,-0.5487355254,-0.7750998629,-0.0444053317,-0.2023714347,-0.3155484564,0.8885671506,0.4355924477,0.3348462762,-0.9330281071,0.9093378470,0.2735862095,0.2854115926
sample_040,0.4229798509,68.1735876704,0.0017759776,0.7925049282,0.0066390549,0.0116095669,0.1392404420,-0.0927618954,0.0836319909,-0.1313361400,0.8239236823,-0.4507314019,1.2656174627,1.4947459505,0.2479063429,0.9248615403,-0.7012794549,0.7286041030,-1.0169524551,-0.3039848320,0.1173629393,-1.2432568069,0.0339935340,-0.5177047300,-1.3626489151,-0.9491989890
sample_041,4.1445716028,47.7870098281,1.1415958563,1.1789864783,2.7258487457,0.5411389916,1.2757911508,-0.1540559103,-1.1664535246,0.1299776370,0.3008142016,-1.1432768032,-1.7903821809,-0.5883328745,-1.4730869742,-2.0819248049,-1.2811038427,-0.6511153323,-0.5442103930,-1.6736431505,-0.8291215275,0.0117657079,-0.0070644494,-1.5780058832,-0.1202006321,0.6537704788
sample_042,-1.0736988600,39.3738445843,0.1511768094,0.4189958425,-1.4381254920,-0.0120764689,-1.4499887038,-1.1557243221,0.0503442965,-0.9762217713,0.1717101737,0.5098326711,0.1748447736,-0.5249606722,-0.5264162286,-0.0079472134,-0.3038492055,-0.2482487150,-0.0552755009,0.4325350675,-0.7045394814,-0.7640145496,-1.8334840387,0.7141009087,-0.6556183160,-0.2117445303
sample_043,-0.8679549476,55.3613730722,-1.0912170268,-1.6430830312,0.3788692855,0.3108445401,1.6571392783,1.2575117277,-0.3192847331,0.2466693223,-0.1083359267,-0.6580762238,0.8721096971,0.5918358547,-0.5714171063,0.3035552323,-0.6857517958,1.4734670641,0.7210183081,-0.6995415471,-0.2435433952,-1.0124456571,-1.2665535117,0.5185450520,2.2669407498,-0.9091213484
sample_044,2.2042315998,70.1937434605,0.0829036431,-0.4776785069,-1.8624798680,-0.0310458875,0.1048599738,0.5439139609,-0.3803303742,-1.2811707361,1.6696039562,1.5614683239,-0.4002389446,0.3583519172,-0.3533912250,2.0869078538,0.4264888489,-0.1294723560,0.5197166950,-1.6059298527,-0.8367376965,-1.1692693473,-0.8855443061,-0.6249562779,0.3146769900,-0.2002613081
sample_045,2.9286348878,50.8889005840,0.2620241380,-0.9201837151,-0.6718023752,-0.8599664598,0.6396701280,0.4693886415,0.1029617846,-2.2725274062,-2.7453100704,1.3794729494,-0.0488002571,0.1526069644,-0.4375603023,-0.2455287564,-2.4278642274,0.2306320807,-0.6386190411,0.7569829290,-1.0768555062,0.1525910276,1.2679929882,0.8798332552,0.6381094220,0.9289313475
sample_046,1.1418319784,63.5451024826,0.2751082834,-0.1083466025,-0.1593279433,0.6437007343,0.7382595390,0.2650289542,-1.0268182116,0.8965395997,0.0830173527,-0.1520862704,2.6868741245,-0.7556554935,0.4348390108,-0.6370900063,-0.2892456335,1.9476420984,0.8562123509,0.7727023912,-0.1753009421,-0.3837458305,-0.3913318571,1.2325141287,0.2082365167,1.9376838517
sample_047,0.9890645341,45.1836755230,-0.3961862198,-0.0229049218,0.5442162893,0.6058848083,-0.3266315696,0.8394093738,-0.6312270471,-0.8405777124,-1.3165917751,-0.5396847298,1.1040430500,0.4336693206,-0.0360833061,0.1846004994,-0.1944643637,0.9484684181,0.3951553524,0.1972491982,-0.1896941612,-0.2336723944,0.7676076850,-0.2336277651,0.7218110714,0.4276588278
sample_048,0.1677606814,44.5955449005,-1.8138604083,-1.4780872288,-1.2466748957,1.0849879778,1.7383390145,2.0276967487,0.0798067839,0.2786503091,0.2008704124,0.9577763050,-0.5945502922,-1.0410711697,0.8828569549,0.5044745857,-1.2302919709,0.4634914742,0.1443974846,0.3721866522,0.4074373668,-0.8399703830,0.3965866729,0.9549292303,0.1116346100,2.6985181491
sample_049,1.5321358535,42.4119684159,0.3003995434,-0.0476336543,-0.3851918289,1.2063916441,0.1162113985,-1.2047774948,-2.2874382805,0.3144014073,-0.7619563952,-0.4229838219,-0.7408233824,1.1482632317,0.7519211079,1.2470063742,0.2876582795,-0.6221491336,0.1590623206,-1.0801018586,-0.3897549137,0.1904447149,0.6560514408,1.0178578620,1.5233210806,1.0177103946
sample_050,-1.4766348931,48.4224849722,-0.2568983173,-0.4297059646,-2.2878443900,-1.3620932226,-0.3534989030,-0.5166316170,-0.8755866090,-1.5333315553,-1.0903030812,-2.0763425584,-0.3887065446,-1.0195013614,-1.0437738769,-0.1738371823,-0.7042081385,0.4497831038,1.0751896929,-0.1742884036,0.1302430312,-0.4773323456,1.5922082416,1.2034791978,-0.1658043470,0.2764105577
sample_051,2.0041494812,70.1998170442,-0.2565833386,-0.5471615288,0.1062300369,0.3006124773,0.8526670571,1.7626752076,0.3065275230,1.9099857978,0.6324822708,0.0980276550,-0.7524628865,-0.4488885295,-0.5133381155,0.5160138220,1.9442396547,0.3139300327,0.3199648852,2.0025941329,-0.9746909863,0.9286059878,0.5166028602,0.3398814989,-0.5670443027,-0.9376487482
sample_052,16.8573157498,37.2895530499,0.8563822332,0.6197147936,0.1290913326,1.2755008242,0.3974820001,-0.8647324780,0.7978144308,-0.3226645975,1.5878818363,-0.1680107213,-1.1352613614,-1.1172719299,-0.7883610040,-0.3466620300,0.7082987506,-0.0727822416,-1.0080555438,-1.3385940265,-0.3750402560,0.5982004530,-0.4504616235,-1.5132163113,-1.1320349252,0.2746629722
sample_053,1.3357873834,68.0096271319,-0.5190475660,-0.1332902051,-0.0175202508,-1.2257484294,-0.7019530700,-1.2631072470,-0.9099034874,-0.7914238548,0.9254403714,-1.6477677134,-1.4239370830,-1.4968121261,0.1631364488,-0.2256722106,0.7283195335,-0.8108377529,2.4520975008,1.9155263450,1.9091807874,0.1612917376,-0.4334892669,0.3483299603,1.0476914732,0.9342063091
sample_054,2.9738801888,38.9070765820,1.2792347011,1.5767760921,1.5102423906,-0.4019316280,-0.1689714844,0.3049764844,1.2157163723,0.0376783986,1.0037464343,0.4735466949,1.5561216477,0.3531325392,-0.7844416994,0.2237672462,0.5055329517,-0.4302282789,-0.8918455950,1.0830327300,-1.2817313303,-0.7618619239,0.5479795342,-1.3174415298,0.6814995661,0.0144559198
sample_055,-0.6880025861,47.4280742314,-0.4864610508,0.7882778092,-0.2567869070,-0.6654990247,1.7087763465,-0.2668696806,-0.6397071279,-0.9064898013,-0.8341934891,0.5484302130,-0.4033841033,-0.5879602676,-1.6693303145,-0.2793154026,-1.0394109637,-0.7135157291,-0.1764378927,-1.8580502131,-1.0332468724,-1.2586307970,0.9910249111,-0.5313919772,-0.7219991445,-1.6193926912
sample_056,-1.5828128514,59.1937058450,0.6932177663,2.8276268329,0.4731476144,-0.7038258195,-0.7953246104,0.1554238311,-2.0294485674,-1.7294956347,-1.2099917614,-0.1453359706,0.3080642031,0.2231844750,-1.1100884052,0.5198643266,-0.3288468749,-1.4347223384,-1.3122418605,-0.1294659454,0.8812691768,-0.0153157034,-2.0939790482,-1.8376797342,-0.4132970524,0.7623553835
sample_057,2.9350275059,56.9329236144,-0.1988176586,-1.1347540481,-0.7641877143,1.6748376785,1.7756856644,2.2526802111,-1.0785193627,-1.8304985161,-1.3595183821,0.1307354334,-2.0192865886,-1.0549986895,0.4347401398,-0.0037091645,0.7128065944,0.5739842868,0.0586879241,1.2709937227,0.4101355678,0.0819238566,0.4587806648,-0.7415029487,0.8380111607,0.9330891673
sample_058,5.1083150906,53.1023317640,1.0496157454,-0.9283596592,-0.7851315471,0.9726716749,-0.4603190588,1.0049938205,1.5807950567,1.1577129981,-3.2269790594,-0.1673954417,0.4971928417,0.1439100275,-1.1348421237,0.1222971681,-0.0457884952,-0.0927076090,-1.3152105689,-0.7814813781,-0.9286486101,-0.9462508628,0.1240430635,2.3535995628,-0.0952090412,0.3539034543
sample_059,0.9598349627,31.8569735303,1.5852401443,0.9535526211,0.0541873203,-0.6606994758,-1.9235558674,-2.9216991839,-1.2676509623,-0.8846675792,-0.5676746452,-0.1109070271,-1.3258025052,0.9365484947,0.2570375545,-0.9198710472,-1.8025911399,-0.7516288616,-0.9738916801,-0.1384030695,-1.6637842171,-3.3707895897,-2.2720594803,0.4936007901,-1.6243844860,-0.7915293818
sample_060,0.7220504980,53.9845753766,-0.8435448224,-1.5921468346,-1.1033449306,-1.5102490266,0.2534501149,0.5339232045,-0.8826632787,0.0258020122,-0.0722967908,1.1387709113,-0.1254071713,0.7654614547,-0.4365918770,0.2783029928,-0.7936266859,-0.2759138813,-0.5019375959,0.9601224534,2.2425841431,1.1477927005,0.3031670971,-1.0316208303,0.5943026920,2.3331944788
sample_061,-1.9366289486,38.7539882755,-1.7438964069,-1.7780341994,-0.7855451976,1.0263028014,-1.1067465828,-0.0897351402,0.8989940459,0.0592343600,-0.3353942774,1.3292294798,-2.2437721838,-0.7435556267,1.3552081014,-0.7058186814,0.1765028216,1.8065076863,0.0251398497,-1.1380770179,0.9451296503,1.4195976367,1.2817642474,-0.4526147795,-0.9453621965,0.1480443277
sample_062,2.7197239485,78.2580003931,-0.4333314204,-0.4018113755,0.8185078037,0.2610635497,-0.1349273674,-1.4105388607,-1.1000183736,-0.1399541431,-0.8979700162,-0.5269736965,1.1945481412,1.1592344009,1.8357798735,-0.0750086178,-0.2864071878,-0.6004599434,-0.4016507497,-0.9368438204,-0.4438909878,-1.7074171441,-1.9048751676,0.2992821706,1.5249174109,1.5821834479
sample_063,-2.9719153339,47.6522861205,-1.5978786714,-0.2389144414,-0.8954314939,-0.2618145593,1.0680117309,-0.4878656051,0.5349799944,-1.4972310110,0.2532838551,-2.2230839585,-1.4126771449,-1.1802512230,-0.4047287337,-0.7181837538,-2.0477565994,-0.8965891509,-1.1289066132,-0.5040356411,-0.8509134399,-1.9474915296,0.5694501168,-1.9604117479,-1.4392518500,0.8201267284
sample_064,1.6673531149,52.0759185315,-0.7390377643,-0.0591174596,-0.5547327204,0.6494133215,-0.5663301018,1.6327696878,-0.8366245048,-0.6859727313,-0.9095704140,0.2900880725,1.3650305726,-1.7285417701,1.9485007877,0.7598876308,0.5652264600,-1.1364751721,-0.3525758109,0.1067439727,-0.9909762518,-1.8763476071,-0.9065417577,-0.5300228922,-0.2811403019,-0.5231086932
sample_065,2.1572257994,37.3862847046,0.6768642147,0.9412875036,-1.0507032669,-0.3683586773,0.5510500246,-1.3417520813,-1.2342224953,-0.9540688689,-0.6559231054,0.3375078956,1.8948316719,-0.2703488832,-0.4757517680,0.8805725767,0.6114208020,-0.5391596822,0.4009518057,0.1043153381,0.6687252476,-0.8336481721,-0.6537154674,-2.2018686847,0.3571202738,-2.0780231061
sample_066,-7.7592441750,44.7323187352,0.6584431111,0.8571728106,2.0657258166,-0.0585662549,0.1218778187,-0.9000786417,0.6699358739,0.9799498848,0.0412840113,0.4923028037,-0.0201455852,1.4002160675,-1.1180810703,-1.3325316706,0.5135086723,0.4149001466,-0.5216434639,-0.3108030171,-0.4796513616,-0.5966202320,-1.3231070614,-1.0734736068,-1.1273377019,-0.4358097477
sample_067,2.0967452507,35.7985362274,1.4131168524,1.1619763066,-0.0042440543,0.3852661619,0.3872031830,-0.3351291306,-1.5660380461,0.4595570558,-0.2350450271,0.3602365200,0.6604226711,1.2284799146,1.0221919054,-0.1365068648,-0.3987532581,-1.0069418939,-0.3941809546,-2.6665686516,-1.5598560360,0.5500496330,-0.2173668403,-0.1929371783,-0.1634575234,-0.5854541312
sample_068,0.4894567159,60.7968600772,1.0367820672,0.0640119868,-2.4607275223,-0.7003194329,-1.1815230889,-0.3282216637,0.8372070734,0.4415408532,-0.5907502407,-1.5975531882,-1.1881503244,-0.3372734902,0.2732450946,-0.9287023772,-1.8242891579,-0.6445365006,-0.1790255760,0.2901993327,0.0899457873,-0.3999952630,0.5972237697,0.5218081136,1.0870911306,-0.2412816075
